883 872
657 223 -148
312 433 -322
509 310 84
387 478 296
303 162 914
572 620 212
726 214 -158
135 557 168
223 143 -6
766 210 -507
403 9 -791
341 392 -648
143 711 108
879 111 813
634 516 -607
507 801 -784
355 441 -741
298 453 -95
47 159 543
784 714 97
248 487 11
54 341 -416
684 814 36
881 338 -782
716 51 159
872 367 -778
257 510 943
87 441 -764
512 708 773
39 703 -828
131 429 -398
630 836 -683
336 556 -29
113 724 377
328 307 86
11 98 -288
257 466 -23
344 213 -318
514 142 82
810 346 464
595 455 503
719 696 -704
832 170 -136
165 625 -956
481 33 -721
326 280 -868
824 378 -622
601 620 -380
765 298 212
600 802 -826
235 419 231
149 871 362
536 752 734
790 384 -832
206 712 -57
389 50 -447
597 211 207
836 495 700
675 207 166
274 774 436
589 598 792
629 476 -817
101 516 -719
201 707 894
790 660 -225
139 163 -131
371 233 887
134 43 -203
687 768 -370
365 89 182
784 133 -713
311 98 -649
671 158 -346
308 825 962
415 20 -970
90 63 -576
832 231 174
658 752 -93
316 231 946
783 274 -135
730 418 -568
510 450 794
802 732 796
805 655 710
749 563 -763
537 21 -925
709 275 849
841 138 -262
182 740 -403
413 814 607
747 135 -589
423 773 -85
210 326 -234
303 60 384
391 756 475
33 104 498
107 835 -563
319 590 401
66 704 629
93 11 580
590 481 -626
277 158 -889
201 462 -274
666 730 -974
684 707 717
728 271 -88
767 55 -221
514 468 393
499 546 -159
646 741 -816
544 199 70
742 390 -636
693 213 -715
677 512 -307
804 808 420
42 518 105
28 213 300
855 872 742
425 79 738
463 854 642
771 395 382
408 667 -549
520 328 168
264 788 181
250 793 -934
505 808 401
652 398 280
244 169 -357
595 430 -96
320 697 35
238 314 694
150 754 963
738 140 433
849 291 368
49 412 440
432 290 108
866 525 -786
70 667 -865
584 547 900
759 42 -789
568 620 -144
747 5 7
518 827 212
85 310 873
748 258 279
695 320 -492
159 214 516
228 408 914
369 239 -989
157 759 105
65 93 960
338 815 -365
583 99 332
221 689 -606
786 320 -145
100 507 -50
717 396 599
882 174 -338
695 766 29
102 243 46
490 127 -836
620 484 -996
438 35 -86
866 342 -338
376 595 -43
346 738 185
46 415 978
358 708 258
780 2 -688
766 153 -978
272 389 -345
786 266 705
419 176 -493
753 331 664
586 741 -804
202 848 384
30 271 -608
745 538 -229
84 16 -281
854 446 42
299 384 840
381 617 -542
216 299 878
863 27 444
125 604 -70
307 380 -889
697 686 901
116 579 538
788 700 468
214 379 -380
330 468 -740
46 875 522
314 796 -544
218 332 613
692 868 188
338 128 327
262 443 -824
764 405 942
745 347 -164
689 572 -977
21 31 349
680 443 317
721 466 763
659 608 952
411 588 -702
478 294 -15
406 465 -771
425 811 290
211 52 -840
694 107 195
738 641 728
161 263 -173
575 559 235
247 600 391
675 169 189
185 426 -331
59 257 -771
414 27 541
260 752 -177
218 847 651
754 158 -59
830 654 -470
68 118 133
394 724 -518
151 228 -598
719 273 -28
843 441 913
331 765 -730
60 496 -166
776 668 516
781 58 616
880 836 240
332 252 -680
82 39 646
229 623 806
486 482 8
387 153 -431
48 800 -294
232 83 -615
136 853 -682
169 46 224
550 380 -977
350 294 892
840 423 816
62 796 -240
581 632 -226
121 73 59
772 240 925
762 880 388
624 140 251
468 829 -557
855 751 -279
785 283 -869
100 519 265
803 723 -573
370 119 -280
25 425 950
230 813 -1000
485 811 -569
147 393 -901
674 165 -756
805 528 211
688 604 367
532 761 -627
54 673 383
300 509 965
24 831 738
631 208 730
205 406 199
288 231 -187
556 717 274
482 39 -527
458 629 933
642 540 773
599 237 28
351 882 -440
84 312 -109
440 127 456
588 337 -892
814 377 127
366 680 758
654 789 403
406 227 926
81 162 69
12 34 -183
786 346 712
3 310 374
285 623 -904
21 379 -124
828 252 254
811 144 183
445 309 -739
325 167 -941
491 111 -122
152 853 862
393 860 -746
401 14 379
87 733 973
43 651 -191
345 595 648
274 804 396
344 383 -753
883 393 156
583 659 -353
62 490 -416
256 583 -373
274 554 416
198 585 632
184 145 -189
177 407 -705
721 558 -97
857 667 750
681 758 -38
136 185 -131
449 437 830
781 559 -802
130 471 -119
756 93 565
699 508 856
147 199 -935
249 694 199
287 561 521
287 630 -605
450 692 609
823 196 -373
650 782 906
883 481 -405
838 853 -187
251 232 953
429 696 129
437 20 -953
694 882 -184
597 636 404
459 647 494
545 765 621
525 284 936
729 178 -947
612 121 376
2 656 -106
876 678 -320
