18
809 1612
541 600 671
367 110 61
468 585 813
145 453 781
257 344 565
455 483 862
403 199 941
794 13 135
22 706 117
357 386 954
665 648 143
767 793 375
135 72 423
109 123 866
373 647 427
392 783 853
161 5 632
246 141 165
16 502 891
352 121 488
594 522 639
36 578 6
31 299 700
244 728 134
698 193 255
251 184 522
746 685 171
675 674 804
99 91 228
595 174 554
92 474 539
782 455 685
39 177 979
574 291 118
104 267 775
415 60 867
170 644 961
416 707 606
652 256 644
409 453 145
52 155 516
221 718 401
396 148 508
490 90 837
155 399 201
403 193 126
701 744 352
803 439 92
678 77 145
376 142 567
545 184 634
24 251 997
739 537 750
711 569 752
8 362 374
751 592 841
440 715 826
95 640 261
114 307 627
556 524 897
256 789 463
112 807 771
554 553 252
622 354 239
578 102 921
159 304 12
435 289 544
89 81 664
487 62 597
307 683 135
4 806 94
158 623 165
609 669 633
675 472 965
557 805 432
705 500 161
219 90 470
665 510 391
551 573 903
29 39 626
424 468 128
180 115 274
306 527 890
229 263 141
18 650 323
373 351 13
502 285 382
526 280 642
558 391 534
247 191 607
681 240 999
787 714 832
465 568 835
139 329 241
383 457 504
629 319 479
38 777 137
205 193 340
780 447 366
422 232 354
600 565 992
92 663 89
150 138 306
516 478 702
645 648 488
548 791 763
55 170 600
563 394 295
512 744 966
226 43 667
176 380 465
68 794 964
535 561 519
133 450 588
309 278 882
716 45 265
458 655 455
55 723 345
344 561 284
634 23 562
669 752 601
38 507 94
514 776 756
326 499 281
487 634 907
221 687 954
332 601 355
437 499 742
151 652 396
201 612 736
72 353 701
475 737 142
17 132 169
243 204 297
292 723 751
643 12 392
588 601 250
226 585 87
110 471 880
790 490 950
660 541 815
331 173 574
566 148 437
72 549 314
706 495 372
71 315 748
183 382 850
552 149 202
195 163 429
399 30 688
93 119 611
36 246 561
317 470 539
76 734 329
1 113 266
342 4 764
429 49 742
763 777 534
512 81 632
252 592 487
435 697 782
161 75 852
727 517 94
133 245 563
362 271 69
483 224 530
789 62 353
745 295 973
104 29 70
584 110 363
381 748 441
314 722 940
690 704 338
179 427 697
140 589 27
493 243 588
671 325 26
147 586 262
750 570 958
54 734 220
79 530 944
662 435 517
371 619 253
336 514 186
621 306 993
367 707 641
158 1 51
277 343 612
271 191 649
777 430 6
249 21 452
612 718 467
669 573 616
146 269 565
459 566 912
383 212 693
270 794 891
495 567 195
197 5 973
462 489 256
706 803 739
445 760 466
17 584 742
407 365 846
522 543 608
359 79 970
439 462 587
216 227 872
398 54 188
466 731 500
503 583 746
411 795 494
597 329 191
676 453 409
225 388 914
63 790 237
113 805 512
377 706 404
452 680 505
772 733 271
724 313 845
794 711 292
521 8 378
49 501 771
585 648 231
754 60 152
227 48 816
246 141 161
180 18 953
588 772 827
363 531 935
596 209 753
598 530 721
452 406 855
566 794 971
534 70 592
4 255 952
771 204 223
543 516 503
570 30 411
762 538 598
548 622 814
404 750 136
58 368 698
419 612 658
208 112 186
798 565 69
302 802 78
90 517 175
72 348 382
250 417 975
279 458 550
222 353 737
483 25 710
459 802 995
503 51 813
573 64 866
180 613 749
422 494 392
604 511 874
604 258 802
414 733 485
143 328 277
322 325 319
803 550 406
731 472 365
175 379 265
706 437 888
412 654 972
59 230 402
60 298 588
125 464 326
554 518 64
264 6 371
334 614 662
201 376 560
150 734 290
157 787 147
492 235 416
577 51 995
298 338 449
768 356 190
508 414 317
799 661 846
283 665 459
272 99 807
401 170 138
98 458 220
664 690 291
490 14 86
627 245 604
791 269 121
455 220 7
412 328 719
28 130 869
148 82 234
345 368 891
704 742 501
641 661 374
643 777 889
483 259 646
338 302 832
604 354 522
494 139 68
738 717 129
280 308 840
493 575 112
7 174 220
5 107 134
56 300 617
132 83 511
592 416 980
781 796 893
261 185 831
802 624 745
308 607 906
438 635 759
706 102 689
346 576 349
724 67 495
70 468 85
527 603 196
174 767 25
785 240 664
729 297 926
216 682 995
154 140 348
390 396 985
703 779 869
13 14 827
338 39 927
646 431 746
751 700 596
126 149 290
468 508 552
579 115 765
109 611 731
413 338 765
169 785 44
522 504 8
86 197 370
600 353 975
657 543 517
167 489 113
498 399 521
160 679 208
694 236 912
282 161 348
321 336 545
480 426 686
410 38 2
434 261 291
790 139 789
313 91 798
221 119 797
325 248 175
657 189 969
411 85 970
326 155 516
687 661 46
486 394 384
374 414 711
134 141 966
264 485 696
553 200 331
794 579 946
268 510 847
447 87 960
802 560 644
635 744 871
271 657 831
52 669 930
515 82 541
631 716 692
416 749 140
359 634 674
795 381 950
619 556 908
509 714 240
32 437 649
685 305 246
691 144 441
789 233 461
339 756 387
738 808 363
495 454 743
388 365 309
738 200 286
250 245 195
23 207 485
747 746 169
552 76 178
677 147 52
657 497 684
347 753 861
564 20 941
260 280 318
252 431 404
684 737 277
696 399 736
277 676 519
245 129 132
470 328 601
803 278 800
652 101 449
275 211 587
656 781 249
413 153 218
542 297 46
328 439 848
621 249 648
697 723 842
438 252 383
602 482 866
65 545 17
761 486 303
708 230 264
788 506 941
406 22 245
278 512 108
414 787 688
230 265 807
454 249 138
798 254 640
152 125 853
14 359 307
432 591 791
534 3 750
613 205 754
183 565 180
702 516 291
711 497 665
150 355 447
754 318 752
418 139 962
31 478 443
252 807 994
539 473 427
691 391 23
740 394 308
429 369 785
466 296 141
662 17 792
596 327 818
760 800 426
450 513 481
287 441 51
796 512 793
301 110 757
336 195 507
221 467 500
732 680 62
380 789 31
118 37 560
331 55 795
105 776 723
38 619 999
261 280 588
725 781 214
186 609 523
405 530 79
113 186 361
482 278 695
782 781 907
568 521 971
211 508 49
60 384 921
668 805 739
319 373 69
39 281 831
530 36 169
222 672 677
391 43 427
312 539 928
428 169 125
692 286 270
305 112 612
500 466 275
156 13 375
101 169 291
500 786 207
717 673 149
45 630 357
3 213 856
194 459 706
156 410 791
20 302 816
152 156 791
48 778 430
49 726 176
136 703 758
338 611 716
212 255 404
6 99 32
502 808 107
46 669 976
641 670 222
397 684 106
689 728 809
636 808 900
679 694 123
601 78 996
708 605 23
401 435 977
663 708 997
742 756 196
359 676 797
664 229 409
68 145 625
452 668 651
220 525 931
545 333 735
205 525 871
117 17 962
611 276 970
619 594 342
256 110 903
446 493 423
670 564 173
415 206 325
301 62 539
194 357 559
272 244 567
105 312 640
646 18 616
212 10 560
114 762 727
175 87 904
374 767 292
206 14 748
434 464 376
432 53 751
688 655 511
186 73 228
731 270 196
91 66 927
80 71 118
168 80 722
582 641 606
564 536 721
712 656 980
567 126 606
713 226 742
450 261 323
634 152 29
29 282 584
81 209 616
639 119 667
222 194 176
442 575 538
140 567 298
10 124 446
685 134 22
599 197 95
10 712 461
620 679 765
261 677 957
781 290 468
148 629 751
199 804 398
391 357 453
532 521 578
557 101 851
542 350 32
178 618 649
593 263 19
311 102 86
803 148 153
791 725 931
547 436 623
726 36 295
610 252 334
246 479 418
618 16 951
218 581 130
305 353 321
1 785 768
159 798 109
286 131 705
353 703 740
17 294 982
605 479 206
92 602 435
630 122 690
145 546 979
32 792 314
455 56 72
305 466 396
648 790 491
353 755 867
648 247 255
360 795 713
136 410 504
742 200 159
246 687 380
142 539 791
679 147 20
374 307 296
255 157 104
360 715 775
116 572 750
295 101 571
13 189 930
770 271 351
738 790 641
508 269 82
136 351 417
354 626 911
633 152 35
219 416 946
646 187 918
499 806 234
392 752 451
410 769 853
809 448 600
39 198 59
362 366 440
34 422 435
88 271 294
641 121 505
494 181 45
583 466 498
234 14 324
361 492 586
771 697 896
345 8 80
317 240 33
683 796 636
262 539 367
715 753 698
390 280 190
674 261 793
236 32 186
488 3 704
124 223 453
453 561 918
405 777 740
588 246 911
80 380 990
