18
982 1701
416 733 52
304 889 403
165 237 251
396 173 326
530 970 328
230 611 376
800 922 966
177 749 944
453 901 453
690 691 843
335 343 871
839 586 617
979 432 678
436 790 725
727 741 814
227 913 794
646 815 895
974 976 145
326 614 634
564 192 919
585 400 882
426 92 202
720 270 3
906 487 952
937 761 799
856 554 820
161 975 324
604 685 725
733 699 962
365 259 86
744 318 141
943 774 917
707 730 484
886 975 424
97 426 413
930 813 457
726 173 388
300 130 269
580 667 976
258 39 466
206 185 82
234 214 438
163 35 91
891 725 698
227 631 728
557 412 992
164 613 279
51 370 12
161 190 693
882 339 26
284 961 717
484 668 12
470 291 433
664 823 122
622 473 724
541 497 870
833 535 81
348 765 273
940 805 702
769 883 464
259 49 357
508 838 897
651 366 809
473 445 569
147 326 253
21 6 690
907 190 177
395 494 540
537 665 449
674 200 810
491 172 595
245 472 576
936 899 729
221 352 739
263 814 247
389 372 347
483 434 739
665 11 191
39 957 179
910 568 67
112 144 945
711 9 683
441 905 402
479 11 239
519 762 905
141 596 383
43 658 969
925 198 633
198 837 648
121 971 742
577 335 215
538 666 389
135 291 40
742 79 806
604 160 920
686 153 789
960 97 337
387 99 33
755 766 857
40 385 298
228 3 160
178 589 357
794 611 88
658 464 757
327 355 210
386 92 524
901 862 55
765 960 117
238 850 818
555 718 643
64 632 445
630 176 170
899 923 625
647 573 669
538 415 257
185 940 201
624 450 39
216 721 741
357 641 605
135 213 167
66 341 180
411 291 495
778 886 148
760 225 919
945 784 934
496 517 191
279 915 423
661 795 516
552 876 790
49 176 803
74 624 4
599 280 108
36 46 575
698 518 541
89 163 567
848 50 594
509 11 80
138 654 906
848 488 296
384 427 656
353 189 732
812 125 129
852 590 180
206 284 228
899 964 874
7 49 232
975 679 795
945 670 255
375 174 944
83 783 862
817 763 853
475 361 766
433 887 708
69 165 268
388 471 512
619 69 376
382 521 244
17 306 294
317 773 931
489 511 518
535 883 13
486 768 487
887 822 847
297 645 982
381 200 183
139 245 134
152 625 20
817 240 320
27 471 745
875 730 265
17 178 810
150 824 392
391 758 617
155 251 142
267 755 428
946 693 566
154 697 934
418 629 551
267 110 244
788 745 907
626 582 77
333 609 428
615 905 684
96 940 277
543 625 487
786 852 508
148 491 10
436 465 308
812 683 707
269 945 310
939 966 542
738 426 575
52 897 26
57 52 382
848 972 273
215 39 53
471 467 402
604 383 711
723 713 241
652 806 279
246 979 829
218 416 170
328 857 932
573 569 263
29 690 213
517 112 155
696 431 710
446 63 389
307 131 196
659 749 120
179 879 565
213 614 934
220 602 389
424 709 586
636 398 763
746 162 893
201 416 97
7 778 153
533 744 688
361 687 558
565 14 840
835 57 816
238 870 937
257 743 435
745 66 266
706 357 934
760 142 938
733 180 293
102 957 80
703 852 408
163 667 465
397 281 842
23 819 73
726 503 439
155 635 136
890 207 952
185 71 537
502 814 402
855 332 598
458 545 440
31 747 988
352 724 235
717 919 361
136 968 252
838 878 599
168 193 43
43 506 350
888 632 733
961 628 533
437 691 650
344 172 593
120 763 817
287 364 952
536 308 829
747 93 631
686 258 225
918 936 886
588 959 7
933 538 710
716 523 366
780 876 246
413 297 944
229 668 180
194 10 875
105 109 209
325 498 286
772 312 391
756 464 73
343 873 589
350 518 997
632 663 837
440 683 658
543 937 733
976 788 242
431 733 994
408 66 355
889 268 704
152 747 96
176 57 459
644 340 687
820 682 786
68 579 420
329 653 829
911 638 30
827 712 762
656 115 263
446 897 297
966 734 815
938 150 944
612 943 465
119 443 535
748 736 299
110 908 810
285 711 598
901 4 68
684 432 43
26 150 988
636 453 696
478 323 279
478 715 750
806 486 224
645 857 804
964 392 716
583 762 501
211 311 552
283 235 21
588 620 612
658 130 194
100 443 574
32 600 666
563 53 818
507 407 603
382 46 454
126 62 576
620 343 680
389 20 865
315 452 321
619 885 452
390 944 999
909 104 203
154 621 254
42 383 618
434 943 760
912 32 986
773 794 567
808 663 3
670 496 18
170 88 234
752 364 863
204 506 628
103 277 809
962 775 916
756 566 514
693 751 646
173 261 512
296 957 199
773 195 48
405 370 346
122 281 67
347 479 242
549 787 47
181 834 242
444 900 14
165 615 559
58 953 722
707 443 392
10 907 772
221 303 16
558 362 869
520 485 867
265 924 496
66 118 212
448 844 18
646 865 461
879 286 176
657 138 296
620 855 200
229 91 379
611 971 526
122 653 764
408 50 532
43 313 21
330 719 141
627 608 168
295 597 376
324 681 252
735 669 180
862 71 860
253 32 538
40 186 156
900 956 253
708 17 556
97 29 664
641 276 474
117 670 952
594 621 14
5 781 225
596 98 782
526 177 747
789 808 841
911 658 616
169 832 359
611 153 285
347 730 173
519 433 563
169 67 628
719 193 682
418 538 310
385 409 407
335 64 198
951 269 613
739 812 786
660 298 453
183 36 830
804 185 526
353 575 335
341 296 72
103 402 830
953 84 556
66 407 387
201 561 460
27 100 311
797 617 455
409 159 193
544 749 721
92 302 461
286 442 132
454 121 531
429 18 265
235 605 371
506 351 134
606 545 489
487 237 832
821 977 595
104 350 633
190 827 195
865 118 194
695 48 41
626 231 944
516 902 74
581 248 540
444 384 709
309 562 812
639 153 488
270 661 379
758 868 287
457 935 84
668 578 754
960 261 320
438 752 590
16 572 717
873 970 875
418 961 399
452 63 434
962 945 661
876 948 286
29 816 907
488 380 209
681 135 738
929 172 624
678 499 979
555 849 437
106 950 831
771 475 844
971 186 910
401 47 955
275 250 788
317 612 759
537 44 948
231 43 707
253 347 766
684 97 53
33 442 323
794 62 705
410 369 483
594 875 732
572 598 249
439 94 864
57 344 165
589 666 837
129 285 186
555 52 665
339 188 942
736 176 896
215 570 906
307 622 663
828 300 805
444 927 67
536 521 480
620 758 519
301 460 714
960 477 41
285 619 1000
246 896 46
842 844 230
279 443 757
756 287 365
774 72 342
708 627 90
389 169 681
95 953 146
854 209 352
865 915 865
36 204 250
587 579 66
664 812 804
151 850 480
874 805 231
675 903 367
632 166 690
662 341 945
134 456 695
878 702 528
701 21 620
77 907 575
797 454 318
950 32 320
264 799 231
403 792 193
394 396 617
875 63 641
546 570 595
757 173 964
806 308 759
125 769 547
114 25 137
217 390 592
318 442 761
477 648 358
53 576 39
65 177 649
913 292 57
409 41 685
686 289 665
413 313 533
923 176 86
948 687 121
364 587 861
55 893 703
107 926 770
15 257 52
258 727 925
788 533 195
117 417 925
481 659 4
651 231 457
343 188 750
918 366 497
459 723 85
596 72 280
432 444 900
379 348 376
750 748 517
965 959 856
507 345 116
786 968 92
820 33 426
290 284 189
168 76 114
495 302 842
361 421 290
292 901 597
64 588 168
981 317 457
91 105 956
266 586 234
496 149 836
248 268 803
846 206 665
220 234 492
409 40 30
456 275 315
326 963 102
806 166 789
343 959 354
401 849 454
759 64 728
632 84 145
438 500 648
944 526 25
512 809 995
56 261 716
327 302 677
764 789 587
461 138 1
323 948 565
252 378 381
966 899 195
433 382 370
169 47 630
664 718 886
473 970 769
894 190 939
381 334 14
85 656 979
432 612 870
443 572 279
406 198 800
951 269 905
378 173 7
266 130 669
654 798 70
811 288 211
672 450 270
517 491 869
270 941 21
127 193 229
711 604 923
464 472 278
979 122 838
671 119 807
14 455 979
662 881 452
623 897 704
52 689 171
781 682 25
925 471 222
196 265 274
136 264 426
158 886 154
205 830 7
630 422 189
261 836 219
513 192 10
405 797 567
871 488 455
821 774 660
258 918 138
877 34 190
336 544 878
691 787 61
8 394 305
706 757 693
148 63 750
69 839 716
921 309 15
236 377 885
330 518 304
707 943 363
955 486 758
727 116 239
336 407 207
97 536 587
210 618 653
129 56 90
289 502 842
172 520 382
208 750 231
546 845 139
447 703 406
426 242 13
366 836 700
313 531 585
408 694 797
312 493 808
368 122 691
638 508 714
493 967 676
175 264 323
106 640 426
77 280 733
956 267 518
269 872 728
75 423 312
22 129 60
654 603 722
243 656 751
215 705 879
854 813 425
643 568 525
675 558 333
667 209 885
960 489 631
684 74 32
219 698 218
124 150 14
108 436 877
16 220 677
170 197 559
192 359 730
579 184 138
474 664 523
350 129 457
534 560 624
424 844 286
382 603 571
302 179 54
553 762 739
123 280 960
100 345 541
972 803 201
404 282 667
849 714 178
83 723 475
270 588 577
265 689 844
951 536 669
358 317 524
777 217 241
596 840 228
587 819 674
608 180 57
281 596 602
240 641 501
651 27 954
23 966 856
199 133 821
177 376 433
291 427 225
530 795 121
178 583 360
648 237 454
593 280 339
637 200 141
458 966 403
10 687 985
85 642 761
321 901 57
309 962 648
29 74 958
80 174 612
549 575 241
593 594 680
462 741 603
165 529 302
924 301 378
882 469 98
391 885 547
260 99 516
304 85 102
830 928 112
823 865 905
945 529 889
347 957 879
323 283 294
435 536 997
445 870 636
364 938 625
580 163 531
668 717 924
700 360 546
553 157 784
980 814 764
5 151 817
939 693 560
33 928 541
694 27 725
966 871 826
511 57 576
875 831 909
138 187 827
169 814 210
308 565 300
919 886 457
792 84 11
553 201 167
879 265 774
143 75 936
466 544 330
