916 2584
147 629 29
218 106 87
272 268 761
760 135 562
588 395 506
845 401 823
82 554 232
732 789 484
251 486 270
825 49 801
660 416 634
215 632 708
614 181 674
867 64 812
480 157 830
561 575 915
125 548 877
450 205 278
274 272 737
818 356 387
33 289 24
136 399 97
700 229 168
720 137 903
61 293 660
677 307 569
506 664 121
599 266 559
415 91 894
567 520 290
778 555 534
749 809 946
523 593 793
233 241 13
400 165 966
474 164 41
316 68 956
91 426 267
406 468 531
863 218 11
825 5 751
230 512 671
736 185 561
828 17 222
268 510 632
348 227 766
213 704 904
853 198 517
71 334 897
37 755 830
265 438 180
71 542 340
508 280 890
391 722 46
474 40 90
780 418 385
152 265 135
777 11 34
392 72 251
127 2 684
690 910 519
564 260 288
379 6 181
409 224 176
542 422 421
305 273 457
491 368 6
698 571 221
689 611 664
396 66 352
187 876 48
64 33 594
523 517 415
604 472 794
390 331 734
575 230 993
53 79 884
99 283 957
541 649 444
689 342 729
430 255 319
309 345 514
36 230 156
585 878 775
643 169 542
376 860 327
174 10 852
435 446 582
774 106 731
785 604 411
273 518 670
200 397 411
101 615 739
846 600 623
553 447 262
903 805 382
860 635 192
193 543 227
840 55 993
56 492 776
65 800 405
790 267 672
649 546 423
801 889 317
549 136 216
824 748 401
491 568 593
821 720 690
191 84 109
528 620 488
457 31 476
273 148 946
145 167 40
317 750 801
584 322 23
757 245 293
99 138 984
132 274 815
284 43 647
73 684 800
756 748 235
492 863 24
237 561 988
305 444 633
468 542 372
595 633 229
902 1 730
854 153 609
273 349 495
728 344 280
261 818 2
318 7 41
83 858 177
28 54 923
416 863 143
45 296 936
780 204 198
833 568 8
394 43 977
207 228 521
554 462 96
306 699 129
756 457 916
194 113 78
45 73 876
425 49 155
700 220 482
244 182 67
91 873 941
427 137 175
162 591 645
566 463 718
669 417 652
144 28 411
522 659 770
484 245 20
595 832 985
488 618 803
516 486 284
851 461 527
392 343 771
640 208 983
598 513 946
204 349 907
814 874 126
481 542 243
673 585 621
865 43 261
457 95 387
238 51 253
583 248 676
355 488 559
453 363 126
777 395 241
87 40 784
494 852 904
580 786 807
833 716 191
741 438 158
661 504 459
214 395 419
622 267 594
505 255 83
532 327 559
709 384 895
607 762 462
878 820 59
638 8 598
541 686 486
244 281 119
99 135 274
528 28 249
185 871 142
9 268 101
410 826 905
640 418 830
562 478 766
460 572 523
631 17 505
603 298 901
910 657 588
528 781 728
557 320 157
537 783 67
530 190 233
528 279 515
308 108 956
298 369 596
682 855 718
628 86 83
287 393 113
167 282 822
754 494 26
592 314 685
698 87 34
338 119 653
340 812 961
311 35 354
474 409 387
292 64 649
311 23 245
207 714 128
105 403 338
852 684 475
570 701 169
732 516 575
908 740 625
266 589 408
306 646 509
621 18 288
325 816 581
344 223 388
819 174 575
87 537 44
661 27 502
17 225 272
199 488 323
18 59 559
589 83 265
270 192 88
280 628 419
290 87 429
251 61 841
804 655 101
786 23 232
381 629 878
399 167 655
282 126 676
74 230 313
293 87 834
412 455 254
321 411 209
498 426 69
61 551 522
417 49 290
210 481 731
908 347 847
27 412 123
910 739 747
688 741 606
717 832 654
676 126 508
6 40 287
763 399 339
642 540 884
176 668 76
66 872 504
461 15 164
475 235 127
44 210 856
497 770 980
666 337 844
179 206 159
82 768 976
242 617 434
510 148 359
61 401 605
335 789 636
431 100 623
618 169 280
549 3 337
754 677 173
221 126 165
400 483 761
789 244 901
144 468 577
842 425 63
429 508 95
53 183 891
382 253 451
183 818 423
224 916 741
814 457 112
858 876 920
903 594 775
817 560 740
288 118 673
286 857 473
348 845 559
339 539 126
731 444 746
348 539 963
356 210 831
45 821 324
161 811 621
331 887 4
223 170 158
238 84 884
848 103 469
810 568 84
840 300 398
387 345 708
176 691 956
427 633 173
529 409 366
166 789 370
237 755 280
350 120 515
694 377 778
481 869 230
217 75 23
437 831 770
289 614 154
527 438 511
49 299 660
582 23 622
540 794 315
325 843 903
351 567 235
577 112 775
676 498 654
723 315 347
515 533 164
535 491 667
744 486 224
662 606 191
46 787 760
114 180 81
823 284 756
90 698 832
135 361 147
435 300 155
784 635 139
23 190 591
253 869 25
861 784 441
362 148 493
164 746 796
760 366 35
722 117 854
238 13 343
17 3 982
658 124 836
561 698 381
823 44 980
405 363 73
388 372 550
74 131 577
242 862 36
591 660 358
4 208 462
474 252 509
111 159 258
277 619 633
567 346 92
810 688 234
235 381 769
900 491 334
160 463 273
642 587 501
730 732 721
399 201 806
