903 2415
64 740 129
281 358 486
481 575 10
416 809 588
143 572 834
157 474 869
599 276 444
138 152 950
2 630 190
125 48 134
149 439 425
243 482 320
655 52 308
264 309 653
12 676 511
333 675 31
444 208 18
645 659 703
249 574 155
838 868 95
704 642 316
423 118 137
326 706 909
735 799 129
375 262 149
840 178 951
459 80 915
733 56 863
55 579 396
390 874 768
804 641 521
566 289 819
444 92 31
56 361 830
809 667 117
117 753 921
50 452 728
249 813 57
425 57 386
729 708 330
367 659 342
195 677 87
764 164 981
730 491 635
773 230 894
262 678 990
45 375 749
819 702 991
57 861 338
788 138 702
505 544 502
564 873 526
441 626 640
58 826 87
214 840 848
775 127 830
570 304 501
283 537 792
453 834 881
781 729 921
570 23 799
770 491 340
784 506 596
776 249 644
132 176 171
335 513 792
634 632 947
865 294 970
360 79 170
40 786 970
145 854 540
529 644 527
799 764 151
402 413 175
431 673 327
358 143 481
23 177 114
149 636 666
761 369 287
549 504 289
252 738 115
802 877 435
399 60 464
191 827 178
496 373 170
613 675 410
167 187 783
609 902 884
148 193 427
276 891 828
549 61 424
338 510 430
740 863 49
308 108 866
456 117 535
229 419 825
290 875 188
445 416 453
77 289 674
225 226 542
259 816 27
507 754 287
418 79 726
668 562 366
432 878 434
642 401 992
863 56 473
227 555 730
235 197 97
443 725 950
24 726 622
256 608 276
2 814 135
176 35 455
638 246 97
335 13 919
196 867 826
505 741 486
661 688 510
342 224 191
148 775 386
653 523 352
887 262 711
99 895 299
176 255 379
261 47 286
414 180 590
863 228 128
244 132 860
415 38 648
166 280 786
666 855 811
638 496 758
454 581 301
589 556 596
25 726 504
584 555 75
892 65 503
113 756 476
446 70 164
156 623 967
164 875 159
358 741 761
733 818 802
306 805 409
701 122 578
196 619 691
69 349 109
653 546 252
341 743 81
707 805 773
302 760 417
120 856 636
28 827 776
540 258 833
370 140 679
711 818 323
786 51 940
636 426 658
566 7 208
567 493 71
719 50 716
443 738 257
731 265 486
78 330 49
737 501 48
658 259 501
800 425 344
469 812 901
368 757 433
865 359 607
46 10 761
623 667 305
365 90 204
799 190 533
641 417 895
797 581 589
470 861 932
493 540 935
5 54 243
732 636 526
363 529 832
868 608 678
323 807 942
653 105 725
52 522 391
627 692 300
704 393 134
513 212 437
87 167 889
474 152 712
152 434 178
815 217 365
380 137 713
534 558 234
836 28 231
89 130 742
373 361 181
702 417 317
754 485 380
884 865 175
332 541 25
355 470 982
299 68 75
164 674 416
748 362 125
747 382 884
199 381 315
248 420 635
829 309 333
207 761 322
362 287 152
763 426 439
765 533 323
715 196 3
272 234 984
43 865 953
167 15 984
200 854 900
367 705 250
211 715 441
62 277 961
655 413 634
249 772 354
887 370 990
332 91 388
269 176 457
59 69 977
805 282 637
33 860 448
164 352 232
519 779 455
380 48 123
757 419 749
81 564 839
752 342 775
808 800 594
64 866 318
1 731 904
395 282 60
167 393 610
429 93 759
903 820 915
717 596 536
628 101 73
412 50 637
405 756 471
340 422 716
495 142 852
691 618 863
582 162 950
280 85 412
460 491 745
536 629 217
86 131 844
444 279 360
840 237 619
362 422 197
555 177 744
54 263 18
192 461 209
827 806 628
563 211 90
409 237 602
189 167 233
335 868 514
543 564 752
609 776 526
341 66 775
880 504 453
833 57 871
708 841 583
157 267 689
383 756 46
400 350 758
821 765 310
256 430 355
783 355 408
