853 2632
674 783 864
767 668 326
565 519 58
466 156 488
474 579 261
395 218 324
321 173 342
472 530 971
716 408 626
670 301 662
594 491 555
509 176 851
60 737 776
228 177 511
544 460 106
274 207 725
107 217 309
44 464 922
286 258 589
373 715 433
339 407 836
773 105 107
454 231 423
753 155 877
503 382 754
254 81 789
92 504 143
46 776 538
176 684 604
768 494 291
46 293 424
464 242 926
281 271 190
95 136 656
796 757 834
400 589 572
802 326 145
76 408 689
776 197 468
853 351 680
543 21 26
776 829 422
844 381 115
811 483 735
360 301 712
778 70 356
537 106 458
407 190 834
158 232 94
484 189 182
830 531 196
126 735 448
412 488 98
58 349 754
652 232 488
698 845 271
451 640 534
636 584 51
828 231 994
138 831 5
558 94 223
337 484 709
128 93 870
830 340 395
399 430 306
55 778 432
574 289 576
660 514 537
26 13 832
679 404 208
835 659 258
463 748 913
309 701 396
206 730 653
684 704 960
471 422 995
151 814 277
92 515 129
738 356 844
416 272 334
678 15 450
224 746 596
749 179 273
158 768 327
57 47 911
49 150 805
609 317 208
219 477 953
751 619 66
356 568 566
460 662 244
583 697 321
836 788 550
450 839 60
512 455 333
826 342 638
8 301 17
586 760 553
193 8 533
462 119 264
460 247 69
590 743 419
490 84 25
168 478 777
540 72 148
357 189 442
220 585 610
471 19 573
575 342 466
768 791 713
692 745 242
36 345 751
346 84 409
88 148 748
18 299 925
615 676 534
549 218 205
289 360 690
59 786 170
46 155 447
524 537 457
266 219 688
242 53 857
217 47 577
393 186 137
195 164 268
94 719 159
465 256 588
643 564 205
149 585 237
430 645 1000
275 806 579
756 601 862
29 428 735
241 239 327
109 577 871
405 358 17
681 455 233
340 175 195
573 294 660
255 716 731
313 802 346
647 429 703
790 279 930
247 472 65
2 651 200
171 34 748
393 220 810
428 435 491
353 416 505
257 572 860
580 849 997
429 384 301
536 750 876
612 153 886
532 418 948
674 759 528
202 324 3
650 527 925
317 207 556
378 820 827
680 580 476
564 443 618
124 835 404
267 531 953
521 153 348
90 201 973
58 567 783
324 200 109
720 136 546
653 812 342
257 440 905
15 230 770
442 489 669
510 366 551
674 600 41
692 424 845
404 675 699
786 256 905
225 356 836
165 683 764
787 668 706
355 411 316
693 115 2
504 815 70
156 627 193
490 327 528
128 330 22
537 415 597
241 328 343
655 574 745
725 48 796
499 293 258
293 786 185
474 734 444
87 813 696
510 53 199
239 283 136
640 655 238
683 747 218
584 458 866
457 643 293
305 662 564
474 707 879
528 131 48
273 72 578
383 402 408
154 612 52
215 467 263
606 287 260
417 376 484
355 649 463
120 558 420
836 246 310
680 540 334
26 44 532
135 236 932
588 95 759
422 129 886
835 655 702
111 594 350
652 226 290
5 801 963
775 701 690
664 819 272
674 61 501
136 608 703
575 10 576
65 10 402
188 277 335
561 680 380
14 750 930
603 614 612
846 836 93
451 354 331
29 144 814
499 165 918
757 253 410
702 161 617
803 711 743
694 497 83
573 272 525
852 208 860
608 549 850
461 320 778
552 787 219
305 449 376
684 263 267
3 641 823
650 435 737
610 304 942
287 658 958
281 843 620
515 329 397
613 27 60
702 90 530
89 547 206
730 445 395
603 785 161
438 25 169
793 374 390
313 727 196
404 732 601
415 552 278
60 628 303
345 52 139
620 422 955
78 346 112
745 567 509
274 607 675
196 449 418
538 563 440
143 661 38
770 26 495
18 435 959
381 819 241
501 344 963
512 267 248
129 358 890
673 294 521
404 84 755
251 268 207
637 599 78
713 237 570
131 437 509
791 145 46
136 693 680
285 301 91
301 356 875
695 162 885
532 86 451
651 753 942
844 289 171
159 379 931
325 444 207
839 161 509
520 630 999
363 200 425
851 785 191
469 175 185
679 557 670
489 409 575
805 543 906
63 672 400
723 833 580
56 738 275
638 48 257
731 722 361
132 648 593
603 13 876
491 328 278
586 113 59
653 716 639
363 275 301
581 220 743
582 228 6
633 590 578
618 581 375
388 257 606
770 434 443
764 788 522
148 786 343
773 467 253
62 626 970
615 121 367
355 366 996
569 626 609
322 511 642
375 133 782
779 260 697
209 432 854
342 532 804
118 363 842
235 109 331
308 830 45
176 94 558
282 709 275
195 350 405
705 824 874
582 417 499
808 730 652
245 153 46
179 151 244
523 41 559
615 372 643
321 368 356
143 525 29
755 211 999
555 447 275
761 146 182
41 462 652
527 237 377
296 593 513
693 471 318
781 651 667
584 267 94
125 526 73
295 596 206
30 80 528
415 51 977
133 401 2
161 547 470
455 516 515
606 678 478
584 535 605
293 95 521
305 163 882
245 621 1000
615 516 32
446 417 157
509 16 732
562 147 757
185 367 684
710 652 612
163 827 653
220 796 984
765 367 881
640 539 183
794 365 694
255 373 158
567 282 622
783 347 338
407 302 612
295 28 162
527 774 178
317 136 888
345 627 574
110 134 213
675 733 911
313 118 332
358 687 416
172 826 671
197 401 173
464 751 846
89 655 889
743 284 535
570 533 347
520 708 373
460 553 152
188 662 474
173 680 263
135 458 127
847 105 427
430 213 417
35 829 741
583 111 557
845 660 217
397 146 77
4 200 198
474 158 579
130 405 906
725 240 936
642 747 757
119 189 519
756 622 886
85 406 34
434 670 26
684 593 720
622 279 807
482 812 921
503 823 831
629 363 49
592 450 820
365 179 825
530 12 230
75 330 567
8 546 539
127 770 404
75 329 197
268 30 337
543 311 63
602 281 178
41 566 748
62 821 697
39 676 174
744 180 430
657 669 833
732 527 812
717 629 453
610 424 502
223 458 870
735 351 52
496 34 813
683 10 968
764 427 407
477 817 39
760 684 154
398 462 112
640 746 716
141 699 202
299 2 379
399 555 917
493 654 22
391 589 901
94 69 839
291 265 844
637 294 621
63 73 82
86 607 475
88 124 198
370 815 695
258 719 369
332 371 209
323 761 74
792 853 104
1 839 434
753 86 710
748 292 246
689 4 513
436 212 345
531 463 790
329 370 430
551 624 233
663 651 207
4 46 205
696 448 244
157 204 256
453 693 998
63 293 689
197 132 1000
547 760 570
305 559 986
535 250 288
108 222 387
268 15 974
455 194 619
441 75 228
370 528 645
531 264 573
22 472 323
636 357 237
355 678 855
407 238 570
153 52 848
675 534 827
422 196 621
465 759 25
269 371 858
555 563 243
513 745 624
229 99 958
623 84 267
360 390 903
676 626 946
693 608 296
778 465 908
446 488 580
677 614 602
477 410 403
360 499 325
811 52 246
589 853 280
58 155 436
95 218 874
330 477 881
538 739 484
166 706 843
411 111 618
140 285 198
830 852 518
233 533 351
455 19 540
360 211 925
166 73 36
752 393 637
426 37 27
184 636 893
178 90 126
426 408 327
775 735 870
463 678 58
459 194 353
19 725 65
141 45 827
762 393 687
201 110 698
41 757 120
104 575 922
245 613 141
187 709 826
695 599 510
609 313 984
116 366 286
798 337 91
356 193 754
191 359 12
89 507 656
790 166 839
220 411 455
41 289 693
646 140 558
348 418 762
375 360 714
377 313 746
314 818 877
80 71 952
75 499 454
507 699 357
487 381 450
603 336 591
271 287 840
7 240 691
707 325 712
207 798 205
389 378 874
691 524 981
234 649 206
758 78 644
302 476 190
851 596 444
579 284 762
42 194 1000
816 540 975
306 138 399
471 399 783
310 796 659
194 817 629
202 115 948
717 754 171
328 740 301
594 347 17
697 707 60
177 484 768
759 305 169
655 649 331
648 655 617
514 121 992
691 284 282
241 243 523
11 478 999
446 466 357
719 814 226
280 590 640
404 245 848
84 643 314
437 729 745
26 402 998
