17
931 926
337 462 -684
429 24 241
836 484 545
578 930 -553
715 338 -800
25 354 -241
879 374 948
608 105 93
177 131 144
867 473 -898
420 340 408
389 216 592
38 59 588
265 280 937
210 272 -804
51 393 760
329 168 524
705 865 289
288 370 829
303 820 -974
671 823 -618
167 682 586
611 522 -221
191 604 510
8 16 -601
256 667 -931
712 32 41
158 244 -72
355 1 548
732 645 -687
294 576 576
595 550 696
119 809 -889
635 911 -343
535 394 453
428 190 318
744 377 773
609 612 635
359 919 27
369 615 -389
86 237 -470
254 268 961
399 258 -738
721 352 -164
34 528 -603
78 692 -184
191 394 618
825 139 218
544 15 223
819 650 173
531 97 83
246 250 705
302 444 -286
69 256 -358
709 813 414
570 519 357
667 727 68
464 770 339
515 532 -676
838 135 -877
323 295 -941
622 830 34
296 560 -593
16 91 -603
230 778 43
183 501 653
478 469 95
919 258 24
446 333 -666
337 409 442
656 399 854
556 742 55
684 516 -831
277 293 317
109 198 779
229 502 -319
386 275 -412
264 384 -878
785 389 576
160 380 -125
522 563 -331
172 18 187
275 172 -941
360 495 -371
279 385 874
299 642 -292
6 320 -302
556 371 745
313 541 -962
279 170 -932
221 158 -872
524 762 -184
584 345 293
441 582 -111
765 714 -604
193 159 -803
930 209 658
85 478 83
206 785 -470
404 646 -996
733 427 471
681 436 45
715 830 -316
333 327 496
151 115 -989
409 791 678
157 745 -116
142 361 -146
700 758 974
37 900 -357
376 331 -721
765 454 731
602 710 318
482 322 4
333 568 -695
294 275 92
309 770 -876
535 174 445
714 291 -208
580 912 818
364 721 -361
203 162 -254
385 735 -858
458 413 -470
150 488 -497
739 343 -52
191 390 436
688 463 -626
874 820 -153
701 157 723
251 356 -469
495 105 -104
903 597 -759
231 129 -700
426 886 50
862 657 313
308 542 -679
778 803 -445
314 841 242
35 901 367
612 888 74
637 765 -166
481 918 655
763 227 499
385 312 321
93 257 -430
796 251 256
599 400 657
291 833 -291
619 215 -33
627 825 535
624 789 9
622 379 132
421 861 -376
862 670 659
82 318 275
458 241 -60
743 55 641
347 761 409
877 574 -699
512 462 -991
744 367 332
4 399 -13
155 486 -480
339 45 -722
145 244 407
727 790 528
276 722 168
814 144 -27
768 855 636
425 924 670
54 385 -449
842 637 -922
605 170 -724
352 253 491
686 642 -439
417 223 -201
61 58 733
720 357 252
746 849 232
712 306 -323
386 316 -169
217 450 376
279 197 325
732 25 -275
128 734 -635
144 269 563
793 777 631
514 679 -668
520 582 -298
91 742 -443
443 748 108
855 701 944
282 258 -459
525 336 -790
926 789 -259
347 700 134
103 615 -265
648 416 924
728 249 722
7 544 484
819 595 140
312 107 756
116 385 369
726 69 525
886 53 -74
363 91 -162
138 3 -574
311 755 997
353 366 479
146 364 963
651 97 -202
878 305 631
231 52 -748
48 91 -984
906 522 410
467 168 -228
803 378 -703
79 82 815
700 150 -471
545 20 921
549 782 678
11 603 -812
375 477 -543
487 848 -828
915 918 681
196 6 807
805 612 735
841 504 945
290 233 -913
116 144 -796
121 846 -752
837 161 -119
419 301 -691
73 841 277
431 506 -889
927 451 -411
853 342 -745
168 527 -288
918 439 105
529 66 443
306 221 632
32 179 510
672 887 -500
72 487 417
405 574 404
893 524 497
42 130 825
873 719 -198
810 454 535
504 579 141
696 217 -851
420 762 -282
58 128 -825
367 787 -276
768 824 913
741 267 -297
486 399 -585
313 498 632
372 542 -686
525 341 -828
579 708 559
758 199 -357
290 76 -671
819 5 956
664 32 931
931 15 -841
201 452 727
119 101 968
135 55 -433
90 765 -239
794 41 972
314 673 -737
908 478 913
162 550 -323
648 104 230
520 401 -933
331 799 755
794 372 -907
248 155 -305
537 103 394
864 493 68
779 338 150
430 157 567
725 260 -511
883 473 977
429 823 -742
151 8 -858
763 621 -444
398 519 -294
911 103 -883
379 375 -926
754 228 436
464 87 650
751 235 -298
899 99 -314
108 216 -90
506 487 -7
189 924 -621
282 317 -114
284 425 -570
273 785 112
403 831 -850
205 542 -921
294 905 67
523 587 -181
679 40 -926
378 126 704
831 633 -648
558 437 -745
