16
930 931
364 320 -846
361 91 -584
754 88 600
29 633 624
211 219 403
133 116 -540
712 1 200
240 668 -788
918 574 -781
312 316 -501
174 403 558
738 615 797
432 674 -326
554 217 605
276 288 -850
244 449 -448
69 625 480
666 815 -471
192 455 -718
179 803 288
839 651 -851
766 497 145
699 778 -988
35 760 -605
61 458 829
365 48 -323
64 426 710
873 826 733
520 383 301
813 459 745
435 123 328
768 722 -399
768 842 154
751 80 -721
885 683 -743
716 653 -519
893 469 153
6 328 -673
766 798 366
826 362 -201
124 909 -223
44 880 -909
636 230 -634
384 915 -132
878 192 348
223 456 343
623 554 724
902 812 -91
396 777 -685
192 461 90
47 677 -758
359 295 273
895 348 956
460 808 375
688 378 -102
62 641 -229
150 490 346
223 279 364
197 403 -453
564 101 -867
173 720 826
332 202 312
438 679 373
308 771 -703
735 164 -356
596 324 796
453 37 -181
737 668 510
885 852 703
866 403 -872
145 484 741
875 618 562
183 344 331
764 907 47
763 526 -153
728 125 68
816 4 344
847 218 -363
418 40 487
915 827 393
442 354 -636
275 330 -716
815 310 294
357 690 -312
419 569 484
866 441 190
592 335 -832
605 251 -169
407 814 935
524 516 -960
847 82 595
196 262 912
437 407 -769
320 334 930
462 140 361
423 369 -505
848 814 -881
282 144 -860
274 178 -387
626 154 46
435 225 420
79 144 547
450 172 -547
909 529 -866
38 333 -260
569 391 -958
451 682 130
148 357 -848
849 479 822
394 242 -807
540 341 -685
640 780 -85
754 10 104
814 798 -599
398 226 22
449 87 578
484 409 582
448 97 -887
171 829 268
622 852 296
294 462 -665
93 32 -407
287 340 -258
725 81 313
749 902 -261
920 520 -529
568 894 -346
343 810 916
898 182 982
100 842 -358
442 440 -814
790 628 -181
909 551 205
728 724 -317
83 441 -837
292 688 146
703 568 182
98 296 -172
122 544 717
335 357 946
842 609 -750
504 524 -135
673 697 -466
634 264 -637
315 791 -296
909 588 1
214 692 -356
355 466 -902
907 193 324
295 887 907
473 682 964
697 331 -874
279 388 414
929 241 -44
738 469 862
823 840 -362
834 270 278
906 226 -483
648 546 340
72 675 915
216 736 -414
708 530 -975
33 570 -293
711 15 43
764 602 -526
428 212 -14
157 271 979
249 602 -528
640 654 97
464 22 -627
463 847 -554
439 582 847
290 489 378
343 39 528
679 770 532
24 108 362
200 852 -820
916 827 -342
595 642 576
10 87 -217
37 723 637
597 421 20
537 525 -324
863 267 2
723 542 328
213 495 -217
226 156 898
280 167 -89
689 442 372
896 546 47
180 679 959
707 261 615
