9164 26720
353 8852 208
7350 820 -197
4697 2753 262
4137 6656 -775
6342 5372 -739
3172 9021 -580
1635 5035 480
7559 5619 989
2650 5398 -245
4037 5050 -347
3603 5939 877
2249 4079 -492
7549 1992 -837
5755 4828 -352
2412 7812 592
2440 454 -267
7019 4746 197
3 910 -944
3806 3038 494
2614 4990 853
353 3501 -488
6594 4839 241
6025 9010 881
4631 3556 535
2185 6725 -922
638 1416 813
4114 3833 -892
5377 3284 -590
1998 1490 446
6786 233 -373
7662 6982 812
7705 1293 259
5390 2324 -563
3316 117 -384
3900 4322 10
273 1691 10
4531 4415 -532
4768 771 849
1948 8826 848
8482 6520 972
6213 3695 -516
6942 3673 358
7407 3012 643
5916 3161 398
8180 6125 -967
4985 2049 -183
2389 7598 -859
4878 9025 742
646 7642 -353
878 4618 -883
4696 2862 793
7056 1673 846
523 5390 -62
4626 5489 -896
5735 3056 -25
4256 1088 606
5558 5828 908
5441 7603 792
6826 1323 -326
3544 224 -446
8931 3655 -593
556 8552 -449
7744 9152 -552
6600 2535 -572
8811 4870 -873
37 1866 907
6799 5801 -781
8183 5151 727
1006 1746 -39
7250 6923 999
8322 717 113
8576 4783 -700
4095 1513 156
6170 5938 176
1914 3926 -107
7901 1264 -440
286 7616 661
6659 1833 261
8272 5057 152
8861 9010 -707
1997 2899 -134
2133 3804 -622
7837 3055 -170
2241 5497 454
2400 3582 -161
6510 5587 419
23 5120 -957
561 6131 -6
9038 47 -153
6551 2928 -730
1345 3962 152
1543 9011 265
4678 2319 308
17 161 -434
6558 6107 884
2670 64 957
5377 3402 -470
8886 8036 789
1061 3405 414
4792 6896 26
1190 2867 25
2808 6031 448
4855 5349 -193
5760 3403 796
633 4412 -92
1343 8484 760
7765 7309 662
7208 3556 224
7474 5091 260
8150 556 -906
2242 5628 392
8285 239 730
352 5129 -597
8587 7536 394
4620 6381 -63
1630 5255 -465
8567 2539 886
6548 3246 -118
8782 8903 754
8721 8238 367
6547 7513 736
5480 316 -191
922 1320 907
2388 5234 -621
2281 7073 -948
8626 532 413
7314 3790 -554
2425 615 -74
5941 7380 4
8195 6911 990
5822 4412 390
8761 9086 574
260 3979 281
4826 4617 930
7617 2909 -716
358 4912 351
2414 7447 -998
8882 9021 -482
5644 2772 686
705 6627 153
6078 6298 -424
2754 7343 -476
6373 6861 610
4740 2920 916
1063 7294 -636
4338 4659 -209
2726 12 -113
7650 2779 828
7545 4049 174
1648 672 769
5397 5664 -670
4827 2671 -34
6894 3131 -74
4197 1308 806
983 2418 -929
8421 7256 -339
2610 1616 656
4989 7130 -650
1300 4588 -604
4076 3943 293
5847 174 867
1967 4262 260
8493 2571 -687
8143 3276 54
5046 7875 164
218 7233 -420
6813 6446 -68
534 6231 886
2028 2746 474
2114 6556 721
7485 2902 950
3027 8098 327
1385 7060 -532
1178 6481 -512
508 5256 693
4620 3281 -844
3125 8002 -643
6167 6872 889
741 3492 -938
4289 2983 953
4665 8998 -638
3750 3210 548
4647 7125 -809
4479 6953 954
4742 7431 -883
7578 143 -640
4264 4602 -686
1292 8180 999
6911 5360 488
7340 2464 675
2176 2510 750
6834 4239 471
901 7782 -964
7395 3134 -844
3795 5220 821
6645 6460 257
939 955 -252
5013 3922 -633
2332 194 246
646 1369 -190
6742 2709 393
5711 199 -188
1793 6290 325
7295 5169 -416
3356 3900 -982
4183 1000 -282
6628 957 884
204 4473 110
6193 6947 -630
8937 8374 -314
7306 4420 840
5302 3784 -79
6874 7296 -826
1377 1378 -46
3340 2444 43
5527 9070 706
4281 2272 -596
8280 1866 -955
5897 147 790
6220 6113 -909
5930 3519 490
7070 707 403
2534 972 -849
933 3533 -860
2976 725 613
8320 4834 985
8441 6364 996
2666 5955 683
7390 6832 474
6247 2203 -310
1282 735 -636
7246 4233 -915
3474 8853 59
6798 8557 -50
4509 2787 412
1115 1020 320
5088 1005 -381
332 4109 718
1419 9141 -420
8728 1853 -174
