9837 28759
5597 4313 -900
5204 1827 649
563 9077 -43
5138 7726 255
9707 5309 -611
6882 7043 992
588 9064 -677
3432 4322 -36
8613 6505 -954
8442 4864 -302
465 8363 650
1021 5448 410
6715 9136 -866
1920 3701 369
4313 5083 -16
5244 4195 -278
686 507 957
7385 7004 130
6308 1773 -558
6545 9719 278
4470 624 -800
8961 4711 327
7979 8082 635
8238 5504 809
7294 7429 77
8138 750 -846
139 4965 -115
8715 4129 -657
3617 457 590
4835 5893 99
8546 457 11
9805 1936 951
1627 4324 -103
5842 1495 -706
8481 7839 154
3147 5985 -878
4806 5628 -807
2100 8046 387
4409 5954 775
4886 6884 -461
456 2306 -572
3927 8765 710
6247 9278 -591
9573 2151 759
9765 2483 -617
7853 9564 -997
4673 7578 -589
876 6375 -636
6176 3215 793
8443 8262 -426
6580 4483 994
444 9416 792
7436 7633 300
4459 3092 70
6330 9100 -696
792 1332 -267
7061 6007 -760
625 7607 188
6265 4225 -864
1529 62 766
9234 1185 -665
3409 2117 -339
5886 6963 -275
1550 3107 617
5772 3190 35
4872 3223 337
1266 4877 392
3318 2934 240
5960 7845 -752
5911 4776 -339
6031 7535 53
4926 2325 -137
7618 5725 574
3674 8501 -745
1206 8580 -894
3623 5771 114
7959 3289 518
8111 4966 568
575 4404 -280
6613 6317 466
7679 816 -28
4222 3418 443
4301 9318 -341
1208 9449 483
375 2549 949
5576 121 -808
3245 3400 -687
407 4030 694
3114 6641 308
3400 7337 280
5477 5434 436
6254 5088 -214
7615 1813 -826
2284 2330 533
7320 7750 -225
4487 406 -420
2985 8903 830
8361 7297 -236
4141 475 -54
403 7690 -836
1166 9757 -278
8755 4657 -446
4735 135 -106
2555 5360 -474
3335 9073 424
7900 5833 966
1996 2770 762
8924 8761 -998
9304 5998 -984
1996 2737 -424
1878 2173 495
2879 8149 -992
4480 803 899
6808 5391 -146
2876 4259 -295
3845 2843 -745
6271 9133 817
1424 8695 858
4133 6752 244
9088 525 596
38 2733 443
376 429 343
175 4093 -475
2588 8331 -753
1979 3716 620
8937 8676 695
6162 8336 -555
3932 2540 674
1781 3047 -442
2302 8286 277
9798 1703 340
2694 1754 -503
9747 8988 -492
5523 3739 220
1016 8937 -325
9666 2842 99
5752 8373 -31
895 7432 -366
4330 9033 130
4028 4796 -978
1434 7609 326
6498 4716 -257
5162 354 415
631 2421 -20
7775 7291 -294
2403 6855 283
6207 1436 941
1720 8399 -998
3772 9274 421
6410 128 -975
9034 3861 -853
6736 9046 -683
9777 4868 -85
5072 7776 685
2317 9252 -984
7522 4149 691
4311 9044 -872
6775 5189 944
7054 8728 -366
7531 6687 583
7501 3233 823
8170 8938 -117
1123 274 -228
9281 4326 143
1429 8168 -648
8692 6787 875
6096 7623 670
7204 1489 -685
6867 2563 -344
1016 6171 -657
8522 7431 -973
765 8021 305
9631 3213 801
7038 5522 -910
2263 5834 -561
8099 2401 979
2644 4672 -834
8097 4591 279
8825 6577 334
3561 9510 -366
4639 7204 -787
8158 6374 461
6637 9030 399
5031 4581 -868
5843 786 -862
5912 9548 -354
9594 5064 366
4698 2526 -705
9418 5664 842
9410 7327 701
5898 9757 -906
1014 9796 -857
2524 9836 190
586 7529 760
3980 322 543
5044 2085 -83
6999 2327 -214
3919 6233 593
5369 3805 -875
2766 5154 329
2124 9370 -799
7012 1267 852
7670 2993 -653
8914 7970 413
3708 710 -666
3010 9177 998
5982 1512 21
7083 2142 -452
6148 6691 59
