8825 28185
6158 127 750
1505 6972 865
7770 6066 853
3927 6306 -59
63 5901 -877
2343 5461 -196
7316 4732 689
4215 7096 -851
612 1332 -580
1419 1580 299
6805 4081 -998
5676 5134 -141
4474 6563 967
1666 2619 -690
2878 1969 196
5267 6983 935
2971 1571 -487
8383 8541 640
6296 1405 -830
2692 6343 -445
401 2926 -836
4808 6236 -510
105 2252 763
5561 7869 837
6515 2332 200
7295 4265 304
8245 6251 -108
2059 7865 -687
7655 5358 -968
3555 8476 -908
5219 7945 -541
6296 8651 38
6973 8145 -308
2777 4916 -229
8096 2516 -833
4845 2395 -456
7417 6923 -37
3746 529 414
3261 7488 402
3304 1586 -214
5318 201 39
2614 4074 -237
8200 346 274
2088 2162 -301
7477 4399 334
775 8368 689
4336 1891 81
4108 5174 -725
5071 6307 347
517 1699 332
4344 6838 -875
1586 4355 171
6371 3797 -222
3528 527 -875
8201 320 -633
3010 4042 -391
2026 7064 191
1251 8109 405
6265 7039 1000
8373 434 -372
624 3870 -861
3213 3916 -135
4320 6566 -145
7297 7838 -603
3150 2588 994
1575 2824 -327
2544 5984 -440
423 7306 -553
7024 4928 913
1861 7152 -878
4564 1300 881
2231 2066 -718
1604 2976 933
3915 6904 -787
5263 2255 -709
8800 1190 369
3102 2463 -737
4513 6368 677
325 6483 723
5160 4581 -200
3997 6941 750
5612 490 -894
6273 914 236
1574 7493 388
2382 7016 -371
8276 634 862
7908 4916 -709
5404 6961 912
7391 4794 637
147 4557 906
2812 3491 979
6654 4445 -923
2206 3820 607
135 739 103
7509 6646 -954
3280 6749 -759
8727 6423 -99
8519 4007 -213
1837 8138 756
7479 3383 -740
761 1349 643
1679 8159 126
398 1619 -767
2518 998 -93
2215 3423 631
5536 8317 -925
2236 624 -811
8377 6763 -709
928 3831 -712
8253 1685 -819
6359 5656 618
802 2986 -117
2745 8786 -972
5691 3367 419
7920 3064 885
5287 7725 105
5199 6904 -831
6415 3223 -335
6704 2552 -664
6048 235 835
5380 3165 -401
3305 7050 -300
7143 3592 -612
5083 2048 -29
5232 5240 618
7377 4009 -466
5884 8141 -616
6013 7703 184
2559 817 324
2184 4757 561
2782 8538 -22
6167 6206 726
5741 1212 898
2911 2982 321
4263 8234 835
2599 7385 40
7110 532 684
5637 4792 -560
4070 7179 568
4196 3742 -988
3052 6139 -715
6827 3064 -195
6583 808 853
7544 6533 -930
1095 4137 -820
1251 5074 -501
3461 7526 359
5798 1131 -215
1101 4028 346
5836 252 -523
6185 4921 856
2081 6228 577
324 8367 141
3689 8063 -319
3332 8053 -671
3365 2947 316
2535 1543 127
3657 2438 68
475 5930 -123
4443 738 -388
4346 1533 -169
6867 5864 -628
8288 3088 893
2274 2964 -865
3360 525 -561
57 6341 368
1996 3205 981
349 3620 -776
5152 7862 -963
4482 1830 -720
4796 8629 445
1953 2019 -418
879 6508 248
6217 5342 -583
6269 5233 519
1971 3659 792
2560 2951 -410
6549 4928 -336
4769 4156 -202
5737 8167 -590
7654 2618 509
2712 504 839
701 1406 -447
1871 2652 -688
1112 5431 173
1486 721 859
8078 4104 -570
597 3760 -848
4148 3554 -570
4550 2406 170
7383 3340 -120
1796 6308 -268
997 4480 666
6835 6462 932
8452 574 216
2271 2208 -17
3718 370 98
1812 6561 -808
3797 1409 -810
1531 7742 238
7859 5426 386
7408 6372 741
3883 7962 -968
5062 5132 -444
6643 2181 -75
6963 6666 71
6886 5019 -110
7158 2669 163
5162 4731 -819
1840 4666 -125
2378 4579 781
1235 6244 305
6153 5368 -944
2078 1724 -545
2253 221 978
3922 4507 764
5374 8216 -931
8797 5335 -761
3913 2739 -540
3997 5287 621
1283 4576 465
4433 6019 120
5569 8303 -813
5524 3012 -520
4655 5654 478
5098 522 -424
1342 5749 774
384 5151 -710
4407 6457 -715
5677 3309 -608
8745 8532 -944
8727 8206 170
5982 4965 -510
2484 4893 655
8815 2102 267
1942 7753 462
8737 5419 -516
6300 5997 -234
6210 5892 -691
1720 1670 -418
4152 8517 -429
6828 2964 756
6833 8593 -15
795 5877 -538
8773 2884 -139
5052 8678 677
5245 7659 -815
5935 1153 353
5816 4770 -63
3549 8524 -98
5669 4894 497
4103 6007 163
1290 2276 -112
7369 6488 -462
8595 3518 718
1030 5420 -905
1971 1208 -58
2491 2637 -551
2422 2948 700
3954 680 842
3917 3567 642
448 8675 -157
2486 277 -34
8235 5451 -737
2766 3571 827
535 8694 856
6934 7306 88
6017 7864 -806
1424 7895 -40
3764 1867 -487
47 6784 -507
5268 2655 -498
4783 2516 923
5754 1778 599
3709 7760 264
4743 1995 878
3043 8445 901
6698 1584 -935
6247 934 -505
1083 4986 -158
4677 1216 -248
6422 3611 65
7520 6290 669
8068 216 -964
5487 3899 545
5942 3640 173
2702 1408 -885
4877 6346 -901
6805 2339 -191
6802 3689 -401
6539 654 -282
4011 1954 701
7784 3055 -430
651 1176 -31
760 6260 -901
1919 6945 663
452 2285 676
5016 6966 646
8210 8266 -875
6926 1789 949
7631 3818 -951
7197 3843 -793
2435 6666 -57
5437 6863 -170
8144 3495 -673
4891 1883 -329
2862 1771 803
4715 3192 441
5127 887 -64
4887 5934 -994
6142 847 -820
7863 1457 -836
2113 8682 -194
5352 5368 394
3691 2926 -571
1437 2034 -355
7573 5895 924
4452 4426 -463
3064 5167 15
8153 2252 261
4777 8351 -791
2946 6011 491
2298 4899 -915
4980 2318 -706
325 6758 154
1231 3157 -943
4246 5485 343
3593 4500 -18
6392 1546 438
7882 5424 705
2715 2125 532
1074 5774 347
600 8646 315
6532 7461 650
6096 3827 347
940 3933 316
664 3807 -943
2581 119 745
6025 2167 348
5472 443 -705
614 6233 -528
208 5233 782
3865 3987 818
4337 5266 -406
5337 5657 -311
1091 8399 -158
2123 5053 370
4489 3250 746
8308 1976 363
2223 2520 -440
6343 45 365
5079 2582 -195
7245 7953 -968
6394 4406 574
8238 7460 -979
4602 1284 -191
8112 891 -565
7887 4992 130
7159 7478 834
7127 2598 -482
5922 5097 89
139 7729 34
2440 6488 328
1268 7551 14
5374 5659 -758
8178 8444 -499
6183 3464 343
4274 6584 447
1757 6368 -615
7787 2902 736
8268 5349 -60
7057 8369 497
1085 1494 293
874 6031 -236
2248 6397 -764
3206 5300 502
5775 6820 -192
8155 5119 -446
2714 5014 -315
8233 8685 455
1654 6668 -173
4640 1655 -454
1039 7330 -716
977 5552 682
8722 4763 700
2548 6762 527
55 7116 889
5097 8446 -864
387 4171 698
5390 2960 -958
5942 8286 -942
7410 5096 -902
4700 1819 -698
923 2259 638
303 4237 -263
8017 8622 -347
8243 5352 -489
1792 2151 -808
7981 4054 358
3548 4705 752
809 725 374
868 1206 -453
18 5264 865
3058 217 -519
7698 4232 14
7782 3505 -692
8222 6031 296
4667 3109 -832
2785 1072 669
7487 1512 546
8722 8129 242
210 3311 -854
1383 1474 -42
4423 7848 -602
1147 1286 423
3411 4744 -600
8021 5471 -647
4025 1018 -899
6019 2157 840
5261 1958 -357
3434 1646 -939
